disease_wiki_id,disease_name,description,drugs,symptoms,risk_factors
Q55782076,"intellectual disability, Buenos-Aires type",,,,
Q55782401,"intellectual disability, Wolff type",,,,
Q55782513,intellectual disability-balding-patella luxation-acromicria syndrome,,,,
Q55783599,intellectual disability-brachydactyly-Pierre robin syndrome,,,,
Q55785691,intellectual disability-cataracts-kyphosis syndrome,"This syndrome is characterized by severe intellectual deficit, kyphosis with onset in childhood and cataract with onset in late adolescence",,,
Q55782074,intellectual disability-dysmorphism-hypogonadism-diabetes mellitus syndrome,,,,
Q55785142,intellectual disability-epilepsy-extrapyramidal syndrome,human disease,,,
Q55787822,intellectual disability-facial dysmorphism-hand anomalies syndrome,human disease,,,
Q55785487,intellectual disability-hypoplastic corpus callosum-preauricular tag syndrome,,,,
Q55787386,intellectual disability-hypotonia-brachycephaly-pyloric stenosis-cryptorchidism syndrome,human disease,,,
Q55787222,intellectual disability-hypotonia-skin hyperpigmentation syndrome,human disease,,,
Q55787245,intellectual disability-microcephaly-phalangeal-facial abnormalities syndrome,human disease,,,
Q55788271,intellectual disability-muscle weakness-short stature-facial dysmorphism syndrome,human disease,,,
Q55782121,intellectual disability-myopathy-short stature-endocrine defect syndrome,,,,
Q55787753,intellectual disability-obesity-brain malformations-facial dysmorphism syndrome,,,,
Q55783472,intellectual disability-obesity-prognathism-eye and skin anomalies syndrome,human disease,,,
Q55787278,intellectual disability-polydactyly-uncombable hair syndrome,medical condition,,,
Q55787820,intellectual disability-seizures-macrocephaly-obesity syndrome,human disease,,,
Q55784026,intellectual disability-severe speech delay-mild dysmorphism syndrome,,,,
Q55787265,intellectual disability-short stature-hypertelorism syndrome,human disease,,,
Q18412811,intellectual disability-spasticity-ectrodactyly syndrome,medical condition,,,
Q55784612,intellectual disability-strabismus syndrome,human disease,,,
Q25407067,interictal psychosis,,,,
Q18671,intermittent explosive disorder,Mood disorder identified by frequent episodes of anger and rage,['risperidone'],,
Q2933573,internalizing and externalizing disorders,,,,
Q17126447,internalizing disorder,type of emotional and behavioral disorder,,,
Q205972,intoxication,negative effect(s) induced by the ingestion of ethanol (alcohol),,,
Q5308896,intravenous substance abuse,"abuse, overuse, or misuse of a substance by its injection into a vein",,,
Q12391880,involuntary speech,,,,
Q6061449,involutional melancholia,,,,
Q60536007,iotacism,,,,
Q3454018,irregular sleep–wake rhythm,"circadian sleep disorder characterized by at least three sleep episodes per 24-hour period, irregularly from day to day",,,
Q19001340,isolated explosive disorder,Human disease,,,
Q192579,jet lag,physiological condition caused by travel across time zones,['melatonin'],"['sleep disorder', 'headache', 'irritability', 'fatigue']",
Q6311334,jumping to conclusions,psychological term,,,
Q55345967,juvenile Huntington disease,"Juvenile Huntington disease (JHD) is a form of Huntington disease (HD; see this term), characterized by onset of signs and symptoms before 20 years of age",,,
Q1728691,kappacism,faulty pronunciation of the consonant /k/,,,
Q55782575,keratosis follicularis-dwarfism-cerebral atrophy syndrome,medical condition,,,
Q6420625,kleptolagnia,paraphilia in which a subject derives gratification from stealing,,,
Q212021,kleptomania,inability to resist the urge to steal,,,
Q1258978,klismaphilia,"In human sexuality, a paraphilia involving enjoyment of, and sexual arousal from, enemas.",,,
Q1080699,koro,"genital-related neurosis, in which an individual has an overpowering belief that one’s genitalia are retracting and will disappear, despite the lack of any true longstanding changes to the genitals",,,
Q274615,kuru,human disease,,"['headache', 'arthralgia', 'dizziness', 'tremor', 'diplopia', 'speech disorder', 'strabismus', 'major depressive disorder', 'obesity', 'mood swing', 'muscle weakness', 'pressure ulcer', 'dementia']",
Q55345712,"kuru, susceptibility to",human disease,,,
Q31195341,lachanophobia,fear of vegetables,,,
Q13403883,lallation,"imperfect enunciation of /l/ that makes it sounds like /r/ or vice versa, found in infantile speech or in non-native speakers",,,
Q538657,lambdacism,"difficulty pronouncing ""l"" sounds",,,
Q997841,language delay,language disorder in which a child fails to develop language normally,,,
Q10469820,language disorder,range of neurodevelopmental conditions,,,
Q29982064,laryngeal abductor paralysis-intellectual disability syndrome,,,,
Q5349807,late talker,a child demonstrating speech ability later than is average,,,
Q55346100,late-onset ataxia with dementia,human disease,,,
Q2314837,late-onset schizophrenia,,,,
Q18966343,latent schizophrenia,subtype of schizophrenia (characterized by clear symptoms of schizophrenia but no history of a psychotic schizophrenic episode),,,
Q97376257,lateral misarticulation,,,,
Q1417676,latex and PVC fetishism,type of fetish towards latex clothing,,,
Q1809353,laxative abuse,,,,
Q860740,learning disability,range of neurodevelopmental conditions,,,
Q1470206,leather subculture,subculture organized around sexual activities that involve leather garments,,,
Q28503346,leg fetishism,sexual fetish for legs,,,
Q55785101,leigh-like basal ganglia disease-optic atrophy-peripheral neuropathy syndrome,human disease,,,
Q16554457,leporiphobia,fear of rabbits,,,
Q55782165,lethal omphalocele-cleft palate syndrome,,,,
Q55345816,leukoencephalopathy with brain stem and spinal cord involvement-high lactate syndrome,"This disease is characterised by progressive cerebellar ataxia with pyramidal and spinal cord dysfunction, associated with distinctive MRI anomalies and increased lactate in the abnormal white matter",,,
Q109673442,limb apraxia,type of apraxia,,,
Q2500124,lipoid proteinosis,rare recessive genetic disorder,,,
Q527892,lisp,speech impediment in which a person misarticulates sibilants,,,
Q1544416,lissencephaly,Brain disorder that prevents growth of brain folds,,,
Q55788668,lissencephaly with cerebellar hypoplasia,,,,
Q19707267,logoclonia,,,,
Q6667795,logopenic progressive aphasia,neurological disorder,,,
Q718263,logorrhea,"extreme and overwhelming prolixity, wordiness","['antipsychotics', 'lithium']",,
Q1340700,long-term effects of alcohol consumption,sobredosis,,,
Q6672139,long-term effects of cannabis,overview of long-term effects of the consumption of cannabis,,,
Q2874240,loss aversion,"people's tendency to prefer avoiding losses to acquiring equivalent gains, a behavior first identified by Amos Tversky and Daniel Kahneman",,,
Q1472585,loss of reality,,,,
Q25379674,low spirits,depressive disorder,,,
Q28130306,low-functioning autism,controversial term applied to people with autism who have an intellectual disability and/or high support needs,"['stimulant', 'antidepressant', 'antipsychotics']",,
Q5984973,lutraphobia,fear of otters,,,
Q32136586,macrocephaly-autism syndrome,human disease,,,
Q55784953,macrocephaly-intellectual disability-neurodevelopmental disorder-small thorax syndrome,human disease,,,
Q55786312,macrocephaly-short stature-paraplegia syndrome,,,,
Q55345755,macrocephaly-spastic paraplegia-dysmorphism syndrome,,,,
Q55784982,macrothrombocytopenia-lymphedema-developmental delay-facial dysmorphism-camptodactyly syndrome,human disease,,,
Q58600773,maieusiophilia,a paraphilia involving sexual attraction to human pregnancy,,,
Q42844,major depressive disorder,"all-encompassing low mood accompanied by low self-esteem, and by loss of interest or pleasure in normally enjoyable activities","['selective serotonin reuptake inhibitor', 'maprotiline', 'ketamine', 'serotonin–norepinephrine reuptake inhibitor', 'Bupropion', 'agomelatine', 'levosulpiride', 'mood stabilizer', 'levomilnacipran', 'antipsychotics', '(S)-duloxetine', 'amoxapine', 'oxitriptan', 'vilazodone hydrochloride', 'Zoloft']","['fatigue', 'dysphoria', 'executive dysfunction', 'mental depression']","['family history', 'substance abuse', 'chronic condition']"
Q55621848,maladjustment,psychological term,,,
Q16039074,male anorexia,,,,
Q55782562,male hypergonadotropic hypogonadism-intellectual disability-skeletal anomalies syndrome,"This syndrome is characterized by hypergonadotropic hypogonadism, intellectual deficit, congenital skeletal anomalies involving the cervical spine and superior ribs, and diabetes mellitus",,,
Q6743512,malignant narcissism,"A hypothetical disorder bridging narcissim and the psychoanalytic ""psychopath""",,,
Q22965506,mandibulofacial dysostosis-microcephaly syndrome,"autosomal dominant disease characterized by progressive microcephaly, micrognathia, microtia, dysplastic ears, preauricular skin tags, speech delay, significant developmental delay,  midface and malar hypoplasia,",,,
Q185935,mania,"state of abnormally elevated or irritable mood, arousal, and/or energy levels",,,
Q56014657,manic bipolar affective disorder,The manic phase of bipolar disorder,,,
Q18966903,manic episode,"mood disorder, characterised by a persistent elevation of mood (single manic episode)",,['exaltation'],
Q1890336,mannerism,,,,
Q55782069,marfanoid habitus-autosomal recessive intellectual disability syndrome,,,,
Q12754745,masochism,paraphilia in which a subject derives gratification from receiving pain,,,
Q847836,mass hysteria,"phenomenon that transmits collective illusions of threats, whether real or imaginary, through a population in society as a result of rumors and fear",,,
Q25380026,massively multiplayer online role-playing game addiction,,,,
Q108582207,maternal depression,,,,
Q18389618,mechanophobia,fear of machines,,,
Q1413869,medical fetishism,sexual fetish involving objects and situations of a medical or clinical nature,,,
Q3141344,medical students' disease,"condition in medical students, who perceive themselves to be experiencing the symptoms of a disease that they are studying",,,
Q1756659,medication overuse headache,medical condition,,,
Q102293249,mega-corpus-callosum syndrome with cerebellar hypoplasia and cortical malformations,human disease,,,
Q192077,melancholia,mood disorder of non-specific depression,,,
Q13512178,melancholia,DSM-IV subtype of clinical depression,,,
Q3332994,melomania,abnormal fondness of music,,,
Q3072083,memory disorder,difficulties in the brain's retrieval of ideas and experiences,,,
Q1334993,memory loss during pregnancy,,,,
Q18553279,meningovascular neurosyphilis,Human disease,,"['muscle weakness', 'memory disorder', 'insomnia', 'paralysis']",
Q6817363,menstrual psychosis,,,,
Q976350,mental breakdown,mental disorder,,,
Q4340209,mental depression,"state of low mood and aversion to activity, which can affect a person's thoughts, behavior, motivation, feelings, and sense of well-being","['melitracen', 'flupentixol', 'pipofezine', 'nefazodone', 'rubidium chloride', 'ketamine', 'dibenzepin', 'lysergic acid diethylamide']","['dysphoria', 'fatigue', 'executive dysfunction']",['smoking']
Q12135,mental disorder,distressing thought or behavior pattern,"['(S)-duloxetine', 'fluoxetine', 'quetiapine', 'clozapine', 'lamotrigine', 'risperidone', 'paliperidone', '(RS)-citalopram', 'aripiprazole', 'sertraline', 'olanzapine', 'haloperidol']",,
